condition,sentence_original,context_original,target,context_baseline1,context_baseline2,context_baseline3,context_baseline4
rw_incon,"If a football match were very important, the fans would get very involved with the scoring. Football fans would cheer when a player scores a try and wave their flags with excitement.","If a football match were very important, the fans would get very involved with the scoring. Football fans would cheer when a player scores a try",try, Football fans would cheer when a player scores a try,"If a football match were very important, the fans would get very involved with the scoring. Football fans cheer when a player scores a try","a football match were very important, the fans would get very involved with the scoring. Football fans would cheer when a player scores a try","a football match is very important, the fans get very involved with the scoring. Football fans would cheer when a player scores a try"
rw_incon,If holidaymakers wanted to get a great tan they would need to leave lots of time for sunbathing. People would sunbathe on the beach at midnight and wear lots of sunscreen.,If holidaymakers wanted to get a great tan they would need to leave lots of time for sunbathing. People would sunbathe on the beach at midnight,midnight, People would sunbathe on the beach at midnight,If holidaymakers wanted to get a great tan they would need to leave lots of time for sunbathing. People sunbathe on the beach at midnight,holidaymakers wanted to get a great tan they would need to leave lots of time for sunbathing. People would sunbathe on the beach at midnight,holidaymakers want to get a great tan. they need to leave lots of time for sunbathing. People would sunbathe on the beach at midnight
rw_incon,If parents were in a good mood at Christmas they might let their children play till late. Children would stay awake on Christmas Eve to look for Elvis and find out what their presents are.,If parents were in a good mood at Christmas they might let their children play till late. Children would stay awake on Christmas Eve to look for Elvis,Elvis, Children would stay awake on Christmas Eve to look for Elvis,If parents were in a good mood at Christmas they might let their children play till late. Children stay awake on Christmas Eve to look for Elvis,parents were in a good mood at Christmas they might let their children play till late. Children would stay awake on Christmas Eve to look for Elvis,parents are in a good mood at Christmas. they might let their children play till late. Children would stay awake on Christmas Eve to look for Elvis
rw_incon,"If Darwin had made more time for his research, he would have given us much more to learn from. Darwin would have published a book about the evolution of aspirin and sold lots of copies.","If Darwin had made more time for his research, he would have given us much more to learn from. Darwin would have published a book about the evolution of aspirin",aspirin, Darwin would have published a book about the evolution of aspirin,"If Darwin had made more time for his research, he would have given us much more to learn from. Darwin has published a book about the evolution of aspirin","Darwin had made more time for his research, he would have given us much more to learn from. Darwin would have published a book about the evolution of aspirin","Darwin has made more time for his research, he has given us much more to learn from. Darwin would have published a book about the evolution of aspirin"
rw_incon,If a ferry wanted to set a new world record the crew would need to be very efficient at their jobs. A ferry would travel across the Atlantic Ocean in the air and arrive in America in record time.,If a ferry wanted to set a new world record the crew would need to be very efficient at their jobs. A ferry would travel across the Atlantic Ocean in the air,air, A ferry would travel across the Atlantic Ocean in the air,If a ferry wanted to set a new world record the crew would need to be very efficient at their jobs. A ferry travels across the Atlantic Ocean in the air,a ferry wanted to set a new world record the crew would need to be very efficient at their jobs. A ferry would travel across the Atlantic Ocean in the air,a ferry wants to set a new world record the crew need to be very efficient at their jobs. A ferry would travel across the Atlantic Ocean in the air
rw_incon,If Isaac Newton had wanted to become more influential he would have had to spend more time recording his findings. Isaac Newton would have documented his research on a laptop and we would all learn from it.,If Isaac Newton had wanted to become more influential he would have had to spend more time recording his findings. Isaac Newton would have documented his research on a laptop,laptop, Isaac Newton would have documented his research on a laptop,If Isaac Newton had wanted to become more influential he would have had to spend more time recording his findings. Isaac Newton has documented his research on a laptop,Isaac Newton had wanted to become more influential he would have had to spend more time recording his findings. Isaac Newton would have documented his research on a laptop,Isaac Newton has wanted to become more influential. he has had to spend more time recording his findings. Isaac Newton would have documented his research on a laptop
rw_incon,"If we had enough money for a holiday to Switzerland, books would advise us where to visit. Gary would go to Switzerland to climb the sanddunes and get suntan to his face.","If we had enough money for a holiday to Switzerland, books would advise us where to visit. Gary would go to Switzerland to climb the sanddunes",sanddunes, Gary would go to Switzerland to climb the sanddunes,"If we had enough money for a holiday to Switzerland, books would advise us where to visit. Gary goes to Switzerland to climb the sanddunes","we had enough money for a holiday to Switzerland, books would advise us where to visit. Gary would go to Switzerland to climb the sanddunes",we have enough money for a holiday to Switzerland. books advise us where to visit. Gary would go to Switzerland to climb the sanddunes
rw_incon,If cats are bored and want something to do they are usually very good at letting their owners know. Judith would listen to her cat talk and throw balls of wool for it to play with.,If cats are bored and want something to do they are usually very good at letting their owners know. Judith would listen to her cat talk,talk, Judith would listen to her cat talk,If cats are bored and want something to do they are usually very good at letting their owners know. Judith listens to her cat talk,cats are bored and want something to do they are usually very good at letting their owners know. Judith would listen to her cat talk,cats are bored and wants something to do. they are usually very good at letting their owners know. Judith would listen to her cat talk
rw_incon,If footballers wanted to win an important match they would need to be skilful and work as a team. Footballers would avoid a tackle by passing the ball using their hands and running into a clear space.,If footballers wanted to win an important match they would need to be skilful and work as a team. Footballers would avoid a tackle by passing the ball using their hands,hands, Footballers would avoid a tackle by passing the ball using their hands,If footballers wanted to win an important match they would need to be skilful and work as a team. Footballers avoid a tackle by passing the ball using their hands,footballers wanted to win an important match they would need to be skilful and work as a team. Footballers would avoid a tackle by passing the ball using their hands,footballers want to win an important match they need to be skilful and work as a team. Footballers would avoid a tackle by passing the ball using their hands
rw_incon,"If birds were flying in a confined space, they require a good awareness of their surroundings. A bird would avoid collisions at night using sonar and identify locations of possible mates.","If birds were flying in a confined space, they require a good awareness of their surroundings. A bird would avoid collisions at night using sonar",sonar, A bird would avoid collisions at night using sonar,"If birds were flying in a confined space, they require a good awareness of their surroundings. A bird avoids collisions at night using sonar","birds were flying in a confined space, they require a good awareness of their surroundings. A bird would avoid collisions at night using sonar","birds are flying in a confined space, they require a good awareness of their surroundings. A bird would avoid collisions at night using sonar"
rw_incon,"If the Queen died soon, the Royal family would need to appoint a new King to take her place. The next King of England would be chosen by ballot and the coronation broadcast on TV.","If the Queen died soon, the Royal family would need to appoint a new King to take her place. The next King of England would be chosen by ballot",ballot, The next King of England would be chosen by ballot,"If the Queen died soon, the Royal family would need to appoint a new King to take her place. The next King of England is chosen by ballot","the Queen died soon, the Royal family would need to appoint a new King to take her place. The next King of England would be chosen by ballot","the Queen died soon, the Royal family need to appoint a new King to take her place. The next King of England would be chosen by ballot"
rw_incon,"If penguins want to survive, they must understand the risks in their home environment. Penguins would learn to outrun cheetah and find food for their young.","If penguins want to survive, they must understand the risks in their home environment. Penguins would learn to outrun cheetah",cheetah, Penguins would learn to outrun cheetah,"If penguins want to survive, they must understand the risks in their home environment. Penguins learn to outrun cheetah","penguins want to survive, they must understand the risks in their home environment. Penguins would learn to outrun cheetah","penguins want to survive, they must understand the risks in their home environment. Penguins would learn to outrun cheetah"
cw_con,If all foreign language courses consisted of painting it would be a popular course for all ages. A student would take a foreign language course to improve his painting and make his parents proud.,If all foreign language courses consisted of painting it would be a popular course for all ages. A student would take a foreign language course to improve his painting,painting, A student would take a foreign language course to improve his painting,If all foreign language courses consisted of painting it would be a popular course for all ages. A student takes a foreign language course to improve his painting,all foreign language courses consisted of painting it would be a popular course for all ages. A student would take a foreign language course to improve his painting,all foreign language courses consist of painting it is a popular course for all ages. A student would take a foreign language course to improve his painting
cw_con,"If Indian cuisine were the same as Italian, we would buy cookbooks for the recipes. Lovers would go to an Indian restaurant to eat some pasta and feel very full all night.","If Indian cuisine were the same as Italian, we would buy cookbooks for the recipes. Lovers would go to an Indian restaurant to eat some pasta",pasta, Lovers would go to an Indian restaurant to eat some pasta,"If Indian cuisine were the same as Italian, we would buy cookbooks for the recipes. Lovers go to an Indian restaurant to eat some pasta","Indian cuisine were the same as Italian, we would buy cookbooks for the recipes. Lovers would go to an Indian restaurant to eat some pasta","Indian cuisine is the same as Italian, we buy cookbooks for the recipes. Lovers would go to an Indian restaurant to eat some pasta"
cw_con,If all supermarkets were leisure centres with a pool for the children they would be very busy at weekends. Mary would take her children to the Asda superstore to swim and battle the crowds.,If all supermarkets were leisure centres with a pool for the children they would be very busy at weekends. Mary would take her children to the Asda superstore to swim,swim, Mary would take her children to the Asda superstore to swim,If all supermarkets were leisure centres with a pool for the children they would be very busy at weekends. Mary takes her children to the Asda superstore to swim,all supermarkets were leisure centres with a pool for the children they would be very busy at weekends. Mary would take her children to the Asda superstore to swim,all supermarkets are leisure centres with a pool for the children they are very busy at weekends. Mary would take her children to the Asda superstore to swim
cw_con,If shoe shops sold only flowers there would be a great deal of choice for buying gifts for loved ones. Husbands would go to a shoe shop to buy some roses and their wives would be happy.,If shoe shops sold only flowers there would be a great deal of choice for buying gifts for loved ones. Husbands would go to a shoe shop to buy some roses,roses, Husbands would go to a shoe shop to buy some roses,If shoe shops sold only flowers there would be a great deal of choice for buying gifts for loved ones. Husbands go to a shoe shop to buy some roses,shoe shops sold only flowers there would be a great deal of choice for buying gifts for loved ones. Husbands would go to a shoe shop to buy some roses,shoe shops sell only flowers. there are a great deal of choice for buying gifts for loved ones. Husbands would go to a shoe shop to buy some roses
cw_con,If a plumber were trained in medicine he would be very useful indeed. Sarah would call a plumber to fix her broken ankle and she would be out of her misery.,If a plumber were trained in medicine he would be very useful indeed. Sarah would call a plumber to fix her broken ankle,ankle, Sarah would call a plumber to fix her broken ankle,If a plumber were trained in medicine he would be very useful indeed. Sarah called a plumber to fix her broken ankle,a plumber were trained in medicine he would be very useful indeed. Sarah would call a plumber to fix her broken ankle,a plumber is trained in medicine. he is very useful indeed. Sarah would call a plumber to fix her broken ankle
cw_con,If you wanted your hair cut by an amateur your friends might think it was funny. You would have your hair cut by a dentist and show it off at a party.,If you wanted your hair cut by an amateur your friends might think it was funny. You would have your hair cut by a dentist,dentist, You would have your hair cut by a dentist,If you wanted your hair cut by an amateur your friends might think it was funny. You have your hair cut by a dentist,you wanted your hair cut by an amateur your friends might think it was funny. You would have your hair cut by a dentist,you want your hair cut by an amateur. your friends might think it is funny. You would have your hair cut by a dentist
cw_con,If all birds lived underwater like fish it would be fascinating to observe their existence. School pupils would go to the countryside to study birds swimming and enjoy the fresh air.,If all birds lived underwater like fish it would be fascinating to observe their existence. School pupils would go to the countryside to study birds swimming,swimming, School pupils would go to the countryside to study birds swimming,If all birds lived underwater like fish it would be fascinating to observe their existence. School pupils go to the countryside to study birds swimming,all birds lived underwater like fish it would be fascinating to observe their existence. School pupils would go to the countryside to study birds swimming,all birds live underwater like fish. it is fascinating to observe their existence. School pupils would go to the countryside to study birds swimming
cw_con,"If golf used the same equipment as tennis, players would work hard to improve their technique. A golfer would hurt his shoulder from swinging his racket and visit a physio for treatment.","If golf used the same equipment as tennis, players would work hard to improve their technique. A golfer would hurt his shoulder from swinging his racket",racket, A golfer would hurt his shoulder from swinging his racket,"If golf used the same equipment as tennis, players would work hard to improve their technique. A golfer hurt his shoulder from swinging his racket","golf used the same equipment as tennis, players would work hard to improve their technique. A golfer would hurt his shoulder from swinging his racket",golf use the same equipment as tennis. players work hard to improve their technique. A golfer would hurt his shoulder from swinging his racket
cw_con,If aspects of the law were only taught in a medical course there would be lots of books to read during the syllabus. A student would become a solicitor by studying medicine and impress his family and friends.,If aspects of the law were only taught in a medical course there would be lots of books to read during the syllabus. A student would become a solicitor by studying medicine,medicine, A student would become a solicitor by studying medicine,If aspects of the law were only taught in a medical course there would be lots of books to read during the syllabus. A student becomes a solicitor by studying medicine,aspects of the law were only taught in a medical course there would be lots of books to read during the syllabus. A student would become a solicitor by studying medicine,aspects of the law are only taught in a medical course. there are lots of books to read during the syllabus. A student would become a solicitor by studying medicine
cw_con,If all cinemas were a nightclub with a floor inside they would be popular places with lively young people. John would invite Mary to the cinema for a dance and they would have a great time.,If all cinemas were a nightclub with a floor inside they would be popular places with lively young people. John would invite Mary to the cinema for a dance,dance, John would invite Mary to the cinema for a dance,If all cinemas were a nightclub with a floor inside they would be popular places with lively young people. John invited Mary to the cinema for a dance,all cinemas were a nightclub with a floor inside they would be popular places with lively young people. John would invite Mary to the cinema for a dance,all cinemas are a nightclub with a floor inside. they are popular places with lively young people. John would invite Mary to the cinema for a dance
cw_con,"If trains were powered by wind like tall ships, they would be cheap to operate all year round. A train driver would be in charge of the mainsail and staff would look after passengers.","If trains were powered by wind like tall ships, they would be cheap to operate all year round. A train driver would be in charge of the mainsail",mainsail, A train driver would be in charge of the mainsail,"If trains were powered by wind like tall ships, they would be cheap to operate all year round. A train driver is in charge of the mainsail","trains were powered by wind like tall ships, they would be cheap to operate all year round. A train driver would be in charge of the mainsail",trains are powered by wind like tall ships. they are cheap to operate all year round. A train driver would be in charge of the mainsail
cw_con,"If caterpillars turned into birds in the chrysalis, it would be an amazing transformation to study. A caterpillar would mature into a sparrow and enjoy testing its new wings.","If caterpillars turned into birds in the chrysalis, it would be an amazing transformation to study. A caterpillar would mature into a sparrow",sparrow, A caterpillar would mature into a sparrow,"If caterpillars turned into birds in the chrysalis, it would be an amazing transformation to study. A caterpillar matures into a sparrow","caterpillars turned into birds in the chrysalis, it would be an amazing transformation to study. A caterpillar would mature into a sparrow","caterpillars turn into birds in the chrysalis, it is an amazing transformation to study. A caterpillar would mature into a sparrow"
cw_con,"If it were possible to travel back in time to meet famous dead people, our newspapers would be full of exciting stories. Reporters would carry out an interview with Elvis and ask what inspired his music.","If it were possible to travel back in time to meet famous dead people, our newspapers would be full of exciting stories. Reporters would carry out an interview with Elvis",Elvis, Reporters would carry out an interview with Elvis,"If it were possible to travel back in time to meet famous dead people, our newspapers would be full of exciting stories. Reporters carry out an interview with Elvis","it were possible to travel back in time to meet famous dead people, our newspapers would be full of exciting stories. Reporters would carry out an interview with Elvis","it is possible to travel back in time to meet famous dead people, our newspapers is full of exciting stories. Reporters would carry out an interview with Elvis"
cw_con,If ants had wings instead of legs they would feel safer from the predators that hunt them. A colony of ants would escape from predators by flying and building their nests in trees.,If ants had wings instead of legs they would feel safer from the predators that hunt them. A colony of ants would escape from predators by flying,flying, A colony of ants would escape from predators by flying,If ants had wings instead of legs they would feel safer from the predators that hunt them. A colony of ants escapes from predators by flying,ants had wings instead of legs they would feel safer from the predators that hunt them. A colony of ants would escape from predators by flying,ants have wings instead of legs. they feel safer from the predators that hunt them. A colony of ants would escape from predators by flying
cw_con,"If America had the same national sport as Spain, it would be a popular destination for enthusiasts. Visitors would go to Chicago to watch bullfights and join the crowds of spectators.","If America had the same national sport as Spain, it would be a popular destination for enthusiasts. Visitors would go to Chicago to watch bullfights",bullfights, Visitors would go to Chicago to watch bullfights,"If America had the same national sport as Spain, it would be a popular destination for enthusiasts. Visitors go to Chicago to watch bullfights","America had the same national sport as Spain, it would be a popular destination for enthusiasts. Visitors would go to Chicago to watch bullfights","America has the same national sport as Spain, it is a popular destination for enthusiasts. Visitors would go to Chicago to watch bullfights"
cw_con,If the French moved the Eiffel Tower to Berlin as a present it would be gratefully received by the community. Steve would see the Eiffel Tower in Germany and show off to his friends at home.,If the French moved the Eiffel Tower to Berlin as a present it would be gratefully received by the community. Steve would see the Eiffel Tower in Germany,Germany, Steve would see the Eiffel Tower in Germany,If the French moved the Eiffel Tower to Berlin as a present it would be gratefully received by the community. Steve saw the Eiffel Tower in Germany,the French moved the Eiffel Tower to Berlin as a present it would be gratefully received by the community. Steve would see the Eiffel Tower in Germany,the French moves the Eiffel Tower to Berlin as a present. it is gratefully received by the community. Steve would see the Eiffel Tower in Germany
cw_con,If Tony Blair were famous for being an opera singer he would put on a spectacular show for his audiences. Crowds of people would watch Tony Blair lead an opera and hopefully they would enjoy it.,If Tony Blair were famous for being an opera singer he would put on a spectacular show for his audiences. Crowds of people would watch Tony Blair lead an opera,opera, Crowds of people would watch Tony Blair lead an opera,If Tony Blair were famous for being an opera singer he would put on a spectacular show for his audiences. Crowds of people watch Tony Blair lead an opera,Tony Blair were famous for being an opera singer he would put on a spectacular show for his audiences. Crowds of people would watch Tony Blair lead an opera,Tony Blair is famous for being an opera singer. he put on a spectacular show for his audiences. Crowds of people would watch Tony Blair lead an opera
cw_con,"If chickens were mammals, their behaviour would be interesting to examine. Environmentalists would watch chickens give birth to chicks and check they are kept safe.","If chickens were mammals, their behaviour would be interesting to examine. Environmentalists would watch chickens give birth to chicks",chicks, Environmentalists would watch chickens give birth to chicks,"If chickens were mammals, their behaviour would be interesting to examine. Environmentalists watch chickens give birth to chicks","chickens were mammals, their behaviour would be interesting to examine. Environmentalists would watch chickens give birth to chicks","chickens are mammals, their behaviour is interesting to examine. Environmentalists would watch chickens give birth to chicks"
cw_con,If nail varnish were for use on the eyes there would be lots of bright colours to choose from. Gillian would paint sparkly pink nail varnish onto her eyelids and look beautiful all night.,If nail varnish were for use on the eyes there would be lots of bright colours to choose from. Gillian would paint sparkly pink nail varnish onto her eyelids,eyelids, Gillian would paint sparkly pink nail varnish onto her eyelids,If nail varnish were for use on the eyes there would be lots of bright colours to choose from. Gillian paints sparkly pink nail varnish onto her eyelids,nail varnish were for use on the eyes there would be lots of bright colours to choose from. Gillian would paint sparkly pink nail varnish onto her eyelids,nail varnish are for use on the eyes. there are lots of bright colours to choose from. Gillian would paint sparkly pink nail varnish onto her eyelids
cw_con,"If spiders had the same biological systems as bees, we would see evidence of their hard work. A spider would spend all day producing honey and admire its hard work later.","If spiders had the same biological systems as bees, we would see evidence of their hard work. A spider would spend all day producing honey",honey, A spider would spend all day producing honey,"If spiders had the same biological systems as bees, we would see evidence of their hard work. A spider spends all day producing honey","spiders had the same biological systems as bees, we would see evidence of their hard work. A spider would spend all day producing honey",spiders have the same biological systems as bees. we see evidence of their hard work. A spider would spend all day producing honey
cw_con,"If football used the same scoring terminology as rugby, it would save spectators’ confusion. Football fans would cheer when a player scores a try and wave their flags with excitement.","If football used the same scoring terminology as rugby, it would save spectators’ confusion. Football fans would cheer when a player scores a try",try, Football fans would cheer when a player scores a try,"If football used the same scoring terminology as rugby, it would save spectators’ confusion. Football fans cheer when a player scores a try","football used the same scoring terminology as rugby, it would save spectators’ confusion. Football fans would cheer when a player scores a try",football uses the same scoring terminology as rugby. it saves spectators’ confusion. Football fans would cheer when a player scores a try
cw_con,If the sun only came out during the night it would change the way we spend our holidays. People would sunbathe on the beach at midnight and wear lots of sunscreen.,If the sun only came out during the night it would change the way we spend our holidays. People would sunbathe on the beach at midnight,midnight, People would sunbathe on the beach at midnight,If the sun only came out during the night it would change the way we spend our holidays. People sunbathe on the beach at midnight,the sun only came out during the night it would change the way we spend our holidays. People would sunbathe on the beach at midnight,the sun only comes out during the night. It changes the way we spend our holidays. People would sunbathe on the beach at midnight
cw_con,If it were Elvis who gives presents at Christmas he would be very popular with children. Children would stay awake on Christmas Eve to look for Elvis and find out what their presents are.,If it were Elvis who gives presents at Christmas he would be very popular with children. Children would stay awake on Christmas Eve to look for Elvis,Elvis, Children would stay awake on Christmas Eve to look for Elvis,If it were Elvis who gives presents at Christmas he would be very popular with children. Children stay awake on Christmas Eve to look for Elvis,it were Elvis who gives presents at Christmas he would be very popular with children. Children would stay awake on Christmas Eve to look for Elvis,it is Elvis who gives presents at Christmas. he is very popular with children. Children would stay awake on Christmas Eve to look for Elvis
cw_con,"If Charles Darwin had been famous for his pharmaceutical work, we would learn about it in school. Darwin would have published a book about the evolution of aspirin and sold lots of copies.","If Charles Darwin had been famous for his pharmaceutical work, we would learn about it in school. Darwin would have published a book about the evolution of aspirin",aspirin, Darwin would have published a book about the evolution of aspirin,"If Charles Darwin had been famous for his pharmaceutical work, we would learn about it in school. Darwin has published a book about the evolution of aspirin","Charles Darwin had been famous for his pharmaceutical work, we would learn about it in school. Darwin would have published a book about the evolution of aspirin","Charles Darwin has been famous for his pharmaceutical work, we learn about it in school. Darwin would have published a book about the evolution of aspirin"
cw_con,If a ferry were converted into a flying vessel it might save some travelling time for holidaymakers. A ferry would travel across the Atlantic Ocean in the air and arrive in America in record time.,If a ferry were converted into a flying vessel it might save some travelling time for holidaymakers. A ferry would travel across the Atlantic Ocean in the air,air, A ferry would travel across the Atlantic Ocean in the air,If a ferry were converted into a flying vessel it might save some travelling time for holidaymakers. A ferry travels across the Atlantic Ocean in the air,a ferry were converted into a flying vessel it might save some travelling time for holidaymakers. A ferry would travel across the Atlantic Ocean in the air,a ferry is converted into a flying vessel. it might save some travelling time for holidaymakers. A ferry would travel across the Atlantic Ocean in the air
cw_con,If Isaac Newton had had the benefit of modern technology it would have been easier to publicize his investigations. Isaac Newton would have documented his research on a laptop and we would all learn from it.,If Isaac Newton had had the benefit of modern technology it would have been easier to publicize his investigations. Isaac Newton would have documented his research on a laptop,laptop, Isaac Newton would have documented his research on a laptop,If Isaac Newton had had the benefit of modern technology it would have been easier to publicize his investigations. Isaac Newton has documented his research on a laptop,Isaac Newton had had the benefit of modern technology it would have been easier to publicize his investigations. Isaac Newton would have documented his research on a laptop,Isaac Newton has had the benefit of modern technology. it has been easier to publicize his investigations. Isaac Newton would have documented his research on a laptop
cw_con,"If Switzerland had the same landscape as Egypt, it would be a beautiful country to visit. Gary would go to Switzerland to climb the sanddunes and get suntan to his face.","If Switzerland had the same landscape as Egypt, it would be a beautiful country to visit. Gary would go to Switzerland to climb the sanddunes",sanddunes, Gary would go to Switzerland to climb the sanddunes,"If Switzerland had the same landscape as Egypt, it would be a beautiful country to visit. Gary goes to Switzerland to climb the sanddunes","Switzerland had the same landscape as Egypt, it would be a beautiful country to visit. Gary would go to Switzerland to climb the sanddunes","Switzerland have the same landscape as Egypt, it is a beautiful country to visit. Gary would go to Switzerland to climb the sanddunes"
cw_con,If cats had developed language skills like humans it would be interesting to hear what they have to say. Judith would listen to her cat talk and throw balls of wool for it to play with.,If cats had developed language skills like humans it would be interesting to hear what they have to say. Judith would listen to her cat talk,talk, Judith would listen to her cat talk,If cats had developed language skills like humans it would be interesting to hear what they have to say. Judith listens to her cat talk,cats had developed language skills like humans it would be interesting to hear what they have to say. Judith would listen to her cat talk,cats have developed language skills like humans. it is interesting to hear what they have to say. Judith would listen to her cat talk
cw_con,If footballers were only allowed to touch the ball with their hands it would be an easier game to play. Footballers would avoid a tackle by passing the ball using their hands and running into a clear space.,If footballers were only allowed to touch the ball with their hands it would be an easier game to play. Footballers would avoid a tackle by passing the ball using their hands,hands, Footballers would avoid a tackle by passing the ball using their hands,If footballers were only allowed to touch the ball with their hands it would be an easier game to play. Footballers avoid a tackle by passing the ball using their hands,footballers were only allowed to touch the ball with their hands it would be an easier game to play. Footballers would avoid a tackle by passing the ball using their hands,footballers are only allowed to touch the ball with their hands. it is an easier game to play. Footballers would avoid a tackle by passing the ball using their hands
cw_con,"If birds were equipped with the same sensory abilities as bats, they would find them useful. A bird would avoid collisions at night using sonar and identify locations of possible mates.","If birds were equipped with the same sensory abilities as bats, they would find them useful. A bird would avoid collisions at night using sonar",sonar, A bird would avoid collisions at night using sonar,"If birds were equipped with the same sensory abilities as bats, they would find them useful. A bird avoids collisions at night using sonar","birds were equipped with the same sensory abilities as bats, they would find them useful. A bird would avoid collisions at night using sonar",birds are equipped with the same sensory abilities as bats. they find them useful. A bird would avoid collisions at night using sonar
cw_con,"If the Royal Family were selected by a public vote, everyone would be happy with the choice. The next King of England would be chosen by ballot and the coronation broadcast on TV.","If the Royal Family were selected by a public vote, everyone would be happy with the choice. The next King of England would be chosen by ballot",ballot, The next King of England would be chosen by ballot,"If the Royal Family were selected by a public vote, everyone would be happy with the choice. The next King of England is chosen by ballot","the Royal Family were selected by a public vote, everyone would be happy with the choice. The next King of England would be chosen by ballot","the Royal Family are selected by a public vote, everyone is happy with the choice. The next King of England would be chosen by ballot"
cw_con,"If all penguins lived in the African desert, they would have to adapt to the environment. Penguins would learn to outrun cheetah and find food for their young.","If all penguins lived in the African desert, they would have to adapt to the environment. Penguins would learn to outrun cheetah",cheetah, Penguins would learn to outrun cheetah,"If all penguins lived in the African desert, they would have to adapt to the environment. Penguins learn to outrun cheetah","all penguins lived in the African desert, they would have to adapt to the environment. Penguins would learn to outrun cheetah","all penguins live in the African desert, they have to adapt to the environment. Penguins would learn to outrun cheetah"
cw_incon,If all foreign language courses consisted of painting it would be a popular course for all ages. A student would take a foreign language course to improve his French and make his parents proud.,If all foreign language courses consisted of painting it would be a popular course for all ages. A student would take a foreign language course to improve his French,French, A student would take a foreign language course to improve his French,If all foreign language courses consisted of painting it would be a popular course for all ages. A student takes a foreign language course to improve his French,all foreign language courses consisted of painting it would be a popular course for all ages. A student would take a foreign language course to improve his French,all foreign language courses consist of painting. it is a popular course for all ages. A student would take a foreign language course to improve his French
cw_incon,"If Indian cuisine were the same as Italian, we would buy cookbooks for the recipes. Lovers would go to an Indian restaurant to eat some curry and feel very full all night.","If Indian cuisine were the same as Italian, we would buy cookbooks for the recipes. Lovers would go to an Indian restaurant to eat some curry",curry, Lovers would go to an Indian restaurant to eat some curry,"If Indian cuisine were the same as Italian, we would buy cookbooks for the recipes. Lovers go to an Indian restaurant to eat some curry","Indian cuisine were the same as Italian, we would buy cookbooks for the recipes. Lovers would go to an Indian restaurant to eat some curry","Indian cuisine is the same as Italian, we buy cookbooks for the recipes. Lovers would go to an Indian restaurant to eat some curry"
cw_incon,If all supermarkets were leisure centres with a swimming pool for the children they would be very busy at weekends. Mary would take her children to the Asda superstore to shop and battle the crowds.,If all supermarkets were leisure centres with a swimming pool for the children they would be very busy at weekends. Mary would take her children to the Asda superstore to shop,shop, Mary would take her children to the Asda superstore to shop,If all supermarkets were leisure centres with a swimming pool for the children they would be very busy at weekends. Mary takes her children to the Asda superstore to shop,all supermarkets were leisure centres with a swimming pool for the children they would be very busy at weekends. Mary would take her children to the Asda superstore to shop,all supermarkets are leisure centres with a swimming pool for the children. they are very busy at weekends. Mary would take her children to the Asda superstore to shop
cw_incon,If shoe shops sold only flowers there would be a great deal of choice for buying gifts for loved ones. Husbands would go to a shoe shop to buy some trainers and their wives would be happy.,If shoe shops sold only flowers there would be a great deal of choice for buying gifts for loved ones. Husbands would go to a shoe shop to buy some trainers,trainers, Husbands would go to a shoe shop to buy some trainers,If shoe shops sold only flowers there would be a great deal of choice for buying gifts for loved ones. Husbands go to a shoe shop to buy some trainers,shoe shops sold only flowers there would be a great deal of choice for buying gifts for loved ones. Husbands would go to a shoe shop to buy some trainers,shoe shops sell only flowers. there is a great deal of choice for buying gifts for loved ones. Husbands would go to a shoe shop to buy some trainers
cw_incon,If a plumber were trained in medicine he would be very useful indeed. Sarah would call a plumber to fix her broken toilet and she would be out of her misery.,If a plumber were trained in medicine he would be very useful indeed. Sarah would call a plumber to fix her broken toilet,toilet, Sarah would call a plumber to fix her broken toilet,If a plumber were trained in medicine he would be very useful indeed. Sarah called a plumber to fix her broken toilet,a plumber were trained in medicine he would be very useful indeed. Sarah would call a plumber to fix her broken toilet,a plumber is trained in medicine. he is very useful indeed. Sarah would call a plumber to fix her broken toilet
cw_incon,If you wanted your hair cut by an amateur your friends might think it was funny. You would have your hair cut by a hairdresser and show it off at a party.,If you wanted your hair cut by an amateur your friends might think it was funny. You would have your hair cut by a hairdresser,hairdresser, You would have your hair cut by a hairdresser,If you wanted your hair cut by an amateur your friends might think it was funny. You have your hair cut by a hairdresser,you wanted your hair cut by an amateur your friends might think it was funny. You would have your hair cut by a hairdresser,you want your hair cut by an amateur. your friends might think it is funny. You would have your hair cut by a hairdresser
cw_incon,If all birds lived underwater like fish it would be fascinating to observe their existence. School pupils would go to the countryside to study birds flying and enjoy the fresh air.,If all birds lived underwater like fish it would be fascinating to observe their existence. School pupils would go to the countryside to study birds flying,flying, School pupils would go to the countryside to study birds flying,If all birds lived underwater like fish it would be fascinating to observe their existence. School pupils go to the countryside to study birds flying,all birds lived underwater like fish it would be fascinating to observe their existence. School pupils would go to the countryside to study birds flying,all birds live underwater like fish. it is fascinating to observe their existence. School pupils would go to the countryside to study birds flying
